instance,n,h,d,makespan,total_time,truck_time_sum,drone_time_sum,unserved,feasible,runtime_ms,avg_drone_customers_per_sortie,avg_truck_customers_per_sortie
instance/6.10.1.txt,6,1,1,1376.191832,2672.773923,1296.582090,1376.191832,0,1,0.875864,2.000000,2.000000
instance/6.10.2.txt,6,1,1,1600.813213,3090.329032,1489.515819,1600.813213,0,1,0.475728,2.000000,2.000000
instance/6.10.3.txt,6,1,1,1436.833521,2529.293656,1092.460134,1436.833521,0,1,0.560857,3.000000,3.000000
instance/6.10.4.txt,6,1,1,1389.401499,2565.394308,1175.992809,1389.401499,0,1,0.710225,4.000000,2.000000
instance/6.20.1.txt,6,1,1,2477.579275,4500.429644,2477.579275,2022.850369,0,1,0.560394,4.000000,2.000000
instance/6.20.2.txt,6,1,1,4640.955301,7014.330537,4640.955301,2373.375236,0,1,0.535690,2.000000,2.000000
instance/6.20.3.txt,6,1,1,2976.305889,5494.817819,2976.305889,2518.511930,0,1,0.658388,4.000000,2.000000
instance/6.20.4.txt,6,1,1,3169.480577,5156.493400,1987.012824,3169.480577,0,1,0.711289,4.000000,2.000000
instance/6.5.1.txt,6,1,1,1056.472968,1690.369319,1056.472968,633.896352,0,1,0.493741,3.000000,3.000000
instance/6.5.2.txt,6,1,1,914.265300,1759.160793,914.265300,844.895492,0,1,0.627411,4.000000,2.000000
instance/6.5.3.txt,6,1,1,1113.557979,1867.108661,1113.557979,753.550682,0,1,0.698984,3.000000,3.000000
instance/6.5.4.txt,6,1,1,996.689969,1720.924412,724.234443,996.689969,0,1,0.665371,4.000000,2.000000
