iter,current_cost,best_cost,feasible
1,798.274470,798.274470,true
2,798.274470,798.274470,true
3,798.274470,798.274470,true
4,798.274470,798.274470,true
5,798.274470,798.274470,true
6,798.274470,798.274470,true
7,798.274470,798.274470,true
8,798.274470,798.274470,true
9,798.274470,798.274470,true
10,798.274470,798.274470,true
11,798.274470,798.274470,true
12,798.274470,798.274470,true
13,798.274470,798.274470,true
14,798.274470,798.274470,true
15,798.274470,798.274470,true
16,798.274470,798.274470,true
17,798.274470,798.274470,true
18,798.274470,798.274470,true
19,798.274470,798.274470,true
20,798.274470,798.274470,true
21,798.274470,798.274470,true
22,798.274470,798.274470,true
23,798.274470,798.274470,true
24,1078.552115,798.274470,true
25,1078.552115,798.274470,true
26,854.930211,798.274470,true
27,854.930211,798.274470,true
28,845.604046,798.274470,true
29,999.320446,798.274470,false
30,845.604046,798.274470,true
31,845.604046,798.274470,true
32,845.604046,798.274470,true
33,845.604046,798.274470,true
34,845.604046,798.274470,true
35,845.604046,798.274470,true
36,845.604046,798.274470,true
37,932.085196,798.274470,true
38,932.085196,798.274470,true
39,932.085196,798.274470,true
40,943.593395,798.274470,true
41,943.593395,798.274470,true
42,943.593395,798.274470,true
43,769.057322,769.057322,true
44,769.057322,769.057322,true
45,769.057322,769.057322,true
46,769.057322,769.057322,true
47,769.057322,769.057322,true
48,769.057322,769.057322,true
49,769.057322,769.057322,true
50,845.982805,769.057322,true
51,875.892454,769.057322,true
52,875.892454,769.057322,true
53,769.057322,769.057322,true
54,769.057322,769.057322,true
55,769.057322,769.057322,true
56,917.140211,769.057322,true
57,896.978045,769.057322,true
58,896.978045,769.057322,true
59,1118.153950,769.057322,true
60,1118.153950,769.057322,true
61,1118.153950,769.057322,true
62,1118.153950,769.057322,true
63,1118.153950,769.057322,true
64,845.982805,769.057322,true
65,769.057322,769.057322,true
66,844.074269,769.057322,false
67,844.074269,769.057322,false
68,844.074269,769.057322,false
69,844.074269,769.057322,false
70,844.074269,769.057322,false
71,845.604046,769.057322,true
72,845.604046,769.057322,true
73,878.310849,769.057322,true
74,886.666780,769.057322,true
75,886.666780,769.057322,true
76,844.315711,769.057322,true
77,844.315711,769.057322,true
78,844.315711,769.057322,true
79,844.315711,769.057322,true
80,844.315711,769.057322,true
81,854.930211,769.057322,true
82,841.630812,769.057322,true
83,841.630812,769.057322,true
84,841.630812,769.057322,true
85,874.764387,769.057322,true
86,908.055851,769.057322,true
87,873.336680,769.057322,true
88,873.336680,769.057322,true
89,924.827259,769.057322,false
90,924.827259,769.057322,false
91,924.827259,769.057322,true
92,924.827259,769.057322,true
93,1097.966291,769.057322,true
94,1097.966291,769.057322,true
95,1097.966291,769.057322,true
96,1261.709584,769.057322,true
97,1097.966291,769.057322,true
98,1063.745049,769.057322,true
99,992.552354,769.057322,true
100,1076.982809,769.057322,true
101,992.552354,769.057322,true
102,988.626387,769.057322,true
103,988.626387,769.057322,true
104,989.713700,769.057322,true
105,989.713700,769.057322,true
106,993.686934,769.057322,true
107,993.686934,769.057322,true
108,993.686934,769.057322,true
109,993.686934,769.057322,true
110,993.686934,769.057322,true
111,845.604046,769.057322,true
112,845.604046,769.057322,true
113,845.604046,769.057322,true
114,845.604046,769.057322,true
115,845.604046,769.057322,true
116,844.074269,769.057322,false
117,844.074269,769.057322,false
118,914.415800,769.057322,false
119,914.415800,769.057322,false
120,863.888821,769.057322,true
121,863.888821,769.057322,true
122,811.164233,769.057322,true
123,811.164233,769.057322,true
124,798.274470,769.057322,true
125,798.274470,769.057322,true
126,798.274470,769.057322,true
127,798.274470,769.057322,true
128,798.274470,769.057322,true
129,798.274470,769.057322,true
130,798.274470,769.057322,true
131,798.274470,769.057322,true
132,798.274470,769.057322,true
133,798.274470,769.057322,true
134,798.274470,769.057322,true
135,798.274470,769.057322,true
136,798.274470,769.057322,true
137,798.274470,769.057322,true
138,798.274470,769.057322,true
139,798.274470,769.057322,true
140,798.274470,769.057322,true
141,798.274470,769.057322,true
142,798.274470,769.057322,true
143,798.274470,769.057322,true
144,798.274470,769.057322,true
145,798.274470,769.057322,true
146,1015.743558,769.057322,false
147,1015.743558,769.057322,false
148,999.320446,769.057322,false
149,1029.553757,769.057322,false
150,861.360830,769.057322,true
151,861.360830,769.057322,true
152,844.315711,769.057322,true
153,861.360830,769.057322,true
154,861.360830,769.057322,true
155,861.360830,769.057322,true
156,861.360830,769.057322,true
157,844.315711,769.057322,true
158,844.315711,769.057322,true
159,844.315711,769.057322,true
160,844.315711,769.057322,true
161,769.057322,769.057322,true
162,769.057322,769.057322,true
