iter,current_cost,best_cost,feasible
1,3391.075053,3391.075053,true
2,3223.748124,3223.748124,true
3,3223.748124,3223.748124,true
4,3223.748124,3223.748124,true
5,3391.075053,3223.748124,true
6,3256.901008,3223.748124,true
7,2880.750809,3223.748124,false
8,2880.750809,3223.748124,false
9,2880.750809,3223.748124,false
10,2880.750809,3223.748124,false
11,2880.750809,3223.748124,false
12,2880.750809,3223.748124,false
13,2880.750809,3223.748124,false
14,2880.750809,3223.748124,false
15,2880.750809,3223.748124,false
16,2880.750809,3223.748124,false
17,2880.750809,3223.748124,false
18,2880.750809,3223.748124,false
19,3391.075053,3223.748124,true
20,3592.763074,3223.748124,true
21,3592.763074,3223.748124,false
22,4283.890619,3223.748124,false
23,4283.890619,3223.748124,false
24,4283.890619,3223.748124,false
25,3701.856149,3223.748124,true
26,3701.856149,3223.748124,true
27,3701.856149,3223.748124,true
28,3701.856149,3223.748124,true
29,3701.856149,3223.748124,true
30,3701.856149,3223.748124,true
31,3701.856149,3223.748124,true
32,3701.856149,3223.748124,true
33,3701.856149,3223.748124,true
34,3701.856149,3223.748124,true
35,3701.856149,3051.759986,true
36,3701.856149,3051.759986,true
37,3701.856149,3051.759986,true
38,3701.856149,3051.759986,true
39,3051.759986,3051.759986,true
40,2908.171045,2908.171045,true
41,2908.171045,2908.171045,true
42,2943.276470,2908.171045,false
43,2943.276470,2908.171045,false
44,2943.276470,2908.171045,true
45,2943.276470,2908.171045,true
46,2943.276470,2908.171045,true
47,2943.276470,2908.171045,true
48,2908.171045,2908.171045,true
49,2908.171045,2908.171045,true
50,2908.171045,2908.171045,true
51,2908.171045,2908.171045,true
52,2908.171045,2908.171045,true
53,3051.759986,2908.171045,true
54,3051.759986,2908.171045,true
55,3051.759986,2908.171045,true
56,3600.689253,2908.171045,true
57,3600.689253,2908.171045,true
58,3717.361111,2908.171045,true
59,3479.622744,2908.171045,true
60,3223.748124,2908.171045,true
61,3223.748124,2908.171045,true
62,3223.748124,2908.171045,true
63,3223.748124,2908.171045,true
64,3223.748124,2908.171045,true
65,3223.748124,2908.171045,true
66,3223.748124,2908.171045,true
67,3223.748124,2908.171045,true
68,3227.894311,2908.171045,true
69,3114.281235,2908.171045,true
70,3114.281235,2908.171045,true
71,3114.281235,2908.171045,true
72,3114.281235,2908.171045,true
73,3114.281235,2908.171045,true
74,3114.281235,2908.171045,true
75,3114.281235,2908.171045,true
76,3114.281235,2908.171045,true
77,3114.281235,2908.171045,true
78,3114.281235,2908.171045,true
79,3114.281235,2908.171045,true
80,3114.281235,2908.171045,true
81,3114.281235,2908.171045,true
82,3114.281235,2908.171045,true
83,3017.201864,2908.171045,true
84,3017.201864,2908.171045,true
85,3017.201864,2908.171045,true
86,3038.717682,2908.171045,true
87,3119.436939,2908.171045,false
88,3119.436939,2908.171045,false
89,3015.124441,2908.171045,false
90,2957.387136,2908.171045,false
91,3015.124441,2908.171045,false
92,3089.915255,2908.171045,false
93,3089.915255,2908.171045,false
94,3464.429949,2908.171045,true
95,3464.429949,2908.171045,true
96,3464.429949,2908.171045,true
97,3804.103973,2908.171045,false
98,3804.103973,2908.171045,false
99,3009.195999,2908.171045,false
100,2943.276470,2908.171045,false
101,3256.901008,2908.171045,true
102,3017.201864,2908.171045,true
103,3051.759986,2908.171045,true
104,3051.759986,2908.171045,true
105,3051.759986,2908.171045,true
106,3051.759986,2908.171045,true
107,3051.759986,2908.171045,true
108,3051.759986,2908.171045,true
109,3051.759986,2908.171045,true
110,3051.759986,2908.171045,true
111,2908.171045,2908.171045,true
112,2908.171045,2908.171045,true
113,2908.171045,2908.171045,true
114,2908.171045,2908.171045,true
115,2908.171045,2908.171045,true
116,2908.171045,2908.171045,true
117,2908.171045,2908.171045,true
118,2908.171045,2908.171045,true
119,2908.171045,2908.171045,true
120,2908.171045,2908.171045,true
121,2908.171045,2908.171045,true
122,2908.171045,2908.171045,true
123,2908.171045,2908.171045,true
124,2908.171045,2908.171045,true
125,2908.171045,2908.171045,true
126,2908.171045,2908.171045,true
127,3133.873723,2908.171045,true
128,3682.802990,2908.171045,true
129,3133.873723,2908.171045,true
130,3133.873723,2908.171045,true
131,3017.201864,2908.171045,true
132,3017.201864,2908.171045,true
133,2908.171045,2908.171045,true
134,2908.171045,2908.171045,true
135,2908.171045,2908.171045,true
136,2908.171045,2908.171045,true
137,2943.276470,2908.171045,true
138,2943.276470,2908.171045,true
139,2943.276470,2908.171045,true
140,2908.171045,2908.171045,true
141,2908.171045,2908.171045,true
142,2908.171045,2908.171045,true
143,2908.171045,2908.171045,true
144,2908.171045,2908.171045,true
145,2908.171045,2908.171045,true
146,2908.171045,2908.171045,true
147,2908.171045,2908.171045,true
148,3015.124441,2908.171045,false
149,2880.750809,2908.171045,false
150,2880.750809,2908.171045,false
151,2880.750809,2908.171045,false
152,2880.750809,2908.171045,false
153,2880.750809,2908.171045,false
154,2880.750809,2908.171045,false
155,2880.750809,2908.171045,false
156,3119.436939,2908.171045,false
157,3188.427287,2908.171045,true
158,3188.427287,2908.171045,true
159,3188.427287,2908.171045,true
160,3188.427287,2908.171045,true
161,3188.427287,2908.171045,true
162,3188.427287,2908.171045,true
