iter,current_cost,best_cost,feasible
1,1436.833521,1436.833521,true
2,1195.568831,1195.568831,true
3,1195.568831,1195.568831,true
4,1195.568831,1195.568831,true
5,1195.568831,1195.568831,true
6,1195.568831,1195.568831,true
7,1195.568831,1195.568831,true
8,1195.568831,1195.568831,true
9,1195.568831,1195.568831,true
10,1195.568831,1195.568831,true
11,1195.568831,1195.568831,true
12,1195.568831,1195.568831,true
13,1195.568831,1195.568831,true
14,1195.568831,1195.568831,true
15,1195.568831,1195.568831,true
16,1195.568831,1195.568831,true
17,1195.568831,1195.568831,true
18,1195.568831,1195.568831,true
19,1195.568831,1195.568831,true
20,1195.568831,1195.568831,true
21,1195.568831,1195.568831,true
22,1195.568831,1195.568831,true
23,1195.568831,1195.568831,true
24,1195.568831,1195.568831,true
25,1195.568831,1195.568831,true
26,1195.568831,1195.568831,true
27,1195.568831,1195.568831,true
28,1195.568831,1195.568831,true
29,1195.568831,1195.568831,true
30,1751.118159,1195.568831,true
31,1751.118159,1195.568831,true
32,1751.118159,1195.568831,true
33,1751.118159,1195.568831,true
34,1751.118159,1195.568831,true
35,1751.118159,1195.568831,true
36,1628.904648,1195.568831,true
37,1628.904648,1195.568831,true
38,1628.904648,1195.568831,true
39,1628.904648,1195.568831,true
40,1628.904648,1195.568831,true
41,1628.904648,1195.568831,true
42,1628.904648,1195.568831,true
43,1628.904648,1195.568831,true
44,1468.868356,1195.568831,true
45,1341.740213,1195.568831,true
46,1341.740213,1195.568831,true
47,1341.740213,1195.568831,true
48,1202.598836,1195.568831,true
49,1202.598836,1195.568831,true
50,1195.568831,1195.568831,true
51,1195.568831,1195.568831,true
52,1195.568831,1195.568831,true
53,1195.568831,1195.568831,true
54,1310.689166,1195.568831,true
55,1310.689166,1195.568831,true
56,1583.004904,1195.568831,true
57,1195.568831,1195.568831,true
58,1195.568831,1195.568831,true
59,1195.568831,1195.568831,true
60,1195.568831,1195.568831,true
61,1195.568831,1195.568831,true
62,1195.568831,1195.568831,true
63,1195.568831,1195.568831,true
64,1195.568831,1195.568831,true
65,1195.568831,1195.568831,true
66,1310.689166,1195.568831,true
67,1195.568831,1195.568831,true
68,1195.568831,1195.568831,true
69,1195.568831,1195.568831,true
70,1310.689166,1195.568831,true
71,1310.689166,1195.568831,true
72,1310.689166,1195.568831,true
73,1310.689166,1195.568831,true
74,1310.689166,1195.568831,true
75,1310.689166,1195.568831,true
76,1310.689166,1195.568831,true
77,1310.689166,1195.568831,true
78,1310.689166,1195.568831,true
79,1195.568831,1195.568831,true
80,1195.568831,1195.568831,true
81,1195.568831,1195.568831,true
82,1195.568831,1195.568831,true
83,1195.568831,1195.568831,true
84,1195.568831,1195.568831,true
85,1195.568831,1195.568831,true
86,1195.568831,1195.568831,true
87,1195.568831,1195.568831,true
88,1195.568831,1195.568831,true
89,1195.568831,1195.568831,true
90,1195.568831,1195.568831,true
91,1310.689166,1195.568831,true
92,1310.689166,1195.568831,true
93,1678.858098,1195.568831,false
94,1709.909145,1195.568831,true
95,1468.868356,1195.568831,true
96,1468.868356,1195.568831,true
97,1468.868356,1195.568831,true
98,1468.868356,1195.568831,true
99,1468.868356,1195.568831,true
100,1634.354354,1195.568831,false
101,1634.354354,1195.568831,false
102,1630.341858,1195.568831,true
103,1630.341858,1195.568831,true
104,1630.341858,1195.568831,true
105,1630.341858,1195.568831,true
106,1630.341858,1195.568831,true
107,1503.213716,1195.568831,true
108,1503.213716,1195.568831,true
109,1503.213716,1195.568831,true
110,1503.213716,1195.568831,true
111,1503.213716,1195.568831,true
112,1503.213716,1195.568831,true
113,1503.213716,1195.568831,true
114,1503.213716,1195.568831,true
115,1503.213716,1195.568831,true
116,1503.213716,1195.568831,true
117,1503.213716,1195.568831,true
118,1341.740213,1195.568831,true
119,1341.740213,1195.568831,true
120,1341.740213,1195.568831,true
121,1341.740213,1195.568831,true
122,1341.740213,1195.568831,true
123,1341.740213,1195.568831,true
124,1341.740213,1195.568831,true
125,1341.740213,1195.568831,true
126,1341.740213,1195.568831,true
127,1393.079477,1195.568831,true
128,1393.079477,1195.568831,true
129,1393.079477,1195.568831,true
130,1393.079477,1195.568831,true
131,1393.079477,1195.568831,true
132,1341.740213,1195.568831,true
133,1195.568831,1195.568831,true
134,1195.568831,1195.568831,true
135,1195.568831,1195.568831,true
136,1195.568831,1195.568831,true
137,1195.568831,1195.568831,true
138,1195.568831,1195.568831,true
139,1195.568831,1195.568831,true
140,1195.568831,1195.568831,true
141,1195.568831,1195.568831,true
142,1195.568831,1195.568831,true
143,1195.568831,1195.568831,true
144,1195.568831,1195.568831,true
145,1195.568831,1195.568831,true
146,1195.568831,1195.568831,true
147,1195.568831,1195.568831,true
148,1195.568831,1195.568831,true
149,1195.568831,1195.568831,true
150,1195.568831,1195.568831,true
151,1195.568831,1195.568831,true
152,1195.568831,1195.568831,true
153,1195.568831,1195.568831,true
154,1195.568831,1195.568831,true
155,1195.568831,1195.568831,true
156,1195.568831,1195.568831,true
157,1195.568831,1195.568831,true
158,1195.568831,1195.568831,true
159,1195.568831,1195.568831,true
160,1195.568831,1195.568831,true
161,1195.568831,1195.568831,true
162,1195.568831,1195.568831,true
