iter,current_cost,best_cost,feasible
1,4208.645271,4208.645271,true
2,2664.908610,2664.908610,true
3,2664.908610,2664.908610,true
4,2560.078411,2560.078411,true
5,2560.078411,2560.078411,true
6,2560.078411,2560.078411,true
7,2560.078411,2560.078411,true
8,2560.078411,2560.078411,true
9,2560.078411,2560.078411,true
10,2560.078411,2560.078411,true
11,2560.078411,2560.078411,true
12,2757.347042,2560.078411,true
13,2757.347042,2560.078411,true
14,2757.347042,2560.078411,true
15,2757.347042,2560.078411,true
16,2757.347042,2560.078411,true
17,2757.347042,2560.078411,true
18,2560.078411,2560.078411,true
19,2560.078411,2560.078411,true
20,2560.078411,2560.078411,true
21,2560.078411,2560.078411,true
22,2560.078411,2560.078411,true
23,2560.078411,2560.078411,true
24,2560.078411,2560.078411,true
25,2339.677703,2339.677703,true
26,2339.677703,2339.677703,true
27,2339.677703,2339.677703,true
28,2157.530226,2157.530226,true
29,2093.059094,2093.059094,true
30,2093.059094,2093.059094,true
31,2693.911191,2093.059094,true
32,2530.901556,2093.059094,true
33,2530.901556,2093.059094,true
34,2530.901556,2093.059094,true
35,2530.901556,2093.059094,true
36,2530.901556,2093.059094,true
37,2530.901556,2093.059094,true
38,2530.901556,2093.059094,true
39,2284.128804,2093.059094,true
40,2284.128804,2093.059094,true
41,2284.128804,2093.059094,true
42,2284.128804,2093.059094,true
43,2284.128804,2093.059094,true
44,2284.128804,2093.059094,true
45,2284.128804,2093.059094,true
46,2284.128804,2093.059094,true
47,2157.530226,2093.059094,true
48,2157.530226,2093.059094,true
49,2157.530226,2093.059094,true
50,2157.530226,2093.059094,true
51,2157.530226,2093.059094,true
52,2157.530226,2093.059094,true
53,2157.530226,2093.059094,true
54,2157.530226,2093.059094,true
55,2157.530226,2093.059094,true
56,2535.738120,2093.059094,true
57,2525.735344,2093.059094,true
58,2525.735344,2093.059094,false
59,2093.059094,2093.059094,false
60,2146.649141,2093.059094,true
61,2093.059094,2093.059094,true
62,2093.059094,2093.059094,true
63,2157.530226,2093.059094,true
64,2157.530226,2093.059094,true
65,2157.530226,2093.059094,true
66,2157.530226,2093.059094,true
67,2093.059094,2093.059094,true
68,2093.059094,2093.059094,true
69,2093.059094,2093.059094,true
70,2093.059094,2093.059094,true
71,2093.059094,2093.059094,true
72,2093.059094,2093.059094,true
73,2093.059094,2093.059094,true
74,2093.059094,2093.059094,true
75,2093.059094,2093.059094,true
76,2093.059094,2093.059094,true
77,2093.059094,2093.059094,true
78,2093.059094,2093.059094,true
79,2093.059094,2093.059094,true
80,2093.059094,2093.059094,true
81,2093.059094,2093.059094,true
82,2093.059094,2093.059094,true
83,2093.059094,2093.059094,true
84,2093.059094,2093.059094,true
85,2093.059094,2093.059094,true
86,2093.059094,2093.059094,true
87,2093.059094,2093.059094,true
88,2093.059094,2093.059094,true
89,2093.059094,2093.059094,true
90,2157.530226,2093.059094,true
91,2093.059094,2093.059094,true
92,2093.059094,2093.059094,true
93,2146.649141,2093.059094,true
94,2146.649141,2093.059094,true
95,2146.649141,2093.059094,true
96,2146.649141,2093.059094,true
97,2146.649141,2093.059094,true
98,2530.901556,2093.059094,true
99,2530.901556,2093.059094,true
100,2530.901556,2093.059094,true
101,2530.901556,2093.059094,true
102,2530.901556,2093.059094,true
103,2530.901556,2093.059094,true
104,2530.901556,2093.059094,true
105,2530.901556,2093.059094,true
106,2530.901556,2093.059094,true
107,2530.901556,2093.059094,true
108,2530.901556,2093.059094,true
109,2530.901556,2093.059094,true
110,2530.901556,2093.059094,true
111,2530.901556,2093.059094,true
112,2530.901556,2093.059094,true
113,2530.901556,2093.059094,true
114,2530.901556,2093.059094,true
115,2530.901556,2093.059094,true
116,2530.901556,2093.059094,true
117,2530.901556,2093.059094,true
118,2530.901556,2093.059094,true
119,2530.901556,2093.059094,true
120,2284.128804,2093.059094,true
121,2284.128804,2093.059094,true
122,2441.519373,2093.059094,false
123,2441.519373,2093.059094,false
124,2441.519373,2093.059094,false
125,2284.128804,2093.059094,true
126,2284.128804,2093.059094,true
127,2284.128804,2093.059094,true
128,2093.059094,2093.059094,true
129,2093.059094,2093.059094,true
130,2093.059094,2093.059094,true
131,2093.059094,2093.059094,true
132,2093.059094,2093.059094,true
133,2093.059094,2093.059094,true
134,2093.059094,2093.059094,true
135,2093.059094,2093.059094,true
136,2093.059094,2093.059094,true
137,2093.059094,2093.059094,true
138,2093.059094,2093.059094,true
139,2093.059094,2093.059094,true
140,2093.059094,2093.059094,true
141,2093.059094,2093.059094,true
142,2093.059094,2093.059094,true
143,2093.059094,2093.059094,true
144,2093.059094,2093.059094,true
145,2093.059094,2093.059094,true
146,2093.059094,2093.059094,true
147,2093.059094,2093.059094,true
148,2093.059094,2093.059094,true
149,2093.059094,2093.059094,true
150,2093.059094,2093.059094,true
151,2093.059094,2093.059094,true
152,2093.059094,2093.059094,true
153,2093.059094,2093.059094,true
154,2093.059094,2093.059094,true
155,2093.059094,2093.059094,true
156,2093.059094,2093.059094,true
157,2093.059094,2093.059094,true
158,2093.059094,2093.059094,true
159,2093.059094,2093.059094,true
160,2093.059094,2093.059094,true
161,2093.059094,2093.059094,true
162,2093.059094,2093.059094,true
