iter,current_cost,best_cost,feasible
1,973.932979,973.932979,true
2,845.763273,845.763273,true
3,845.763273,845.763273,true
4,805.232474,805.232474,true
5,805.232474,805.232474,true
6,805.232474,805.232474,true
7,805.232474,805.232474,true
8,854.865283,805.232474,true
9,854.865283,805.232474,true
10,854.865283,805.232474,true
11,1177.137754,805.232474,true
12,973.932979,805.232474,true
13,892.898216,805.232474,true
14,907.418635,805.232474,true
15,907.418635,805.232474,true
16,907.418635,805.232474,true
17,907.418635,805.232474,true
18,915.102678,805.232474,true
19,915.102678,805.232474,true
20,854.865283,805.232474,true
21,854.865283,805.232474,true
22,854.865283,805.232474,true
23,854.865283,805.232474,true
24,1031.487476,805.232474,true
25,1031.487476,805.232474,true
26,1031.487476,805.232474,true
27,996.689969,805.232474,true
28,996.689969,805.232474,true
29,973.932979,805.232474,true
30,973.932979,805.232474,true
31,989.459973,805.232474,true
32,994.784659,805.232474,true
33,989.459973,805.232474,true
34,989.459973,805.232474,true
35,989.459973,805.232474,true
36,989.459973,805.232474,true
37,1059.450608,805.232474,true
38,1059.450608,805.232474,true
39,989.459973,805.232474,true
40,845.763273,805.232474,true
41,845.763273,805.232474,true
42,805.232474,805.232474,true
43,854.865283,805.232474,true
44,854.865283,805.232474,true
45,845.763273,805.232474,true
46,845.763273,805.232474,true
47,845.763273,805.232474,true
48,845.763273,805.232474,true
49,845.763273,805.232474,true
50,845.763273,805.232474,true
51,845.763273,805.232474,true
52,845.763273,805.232474,true
53,805.232474,805.232474,true
54,849.311039,805.232474,true
55,854.865283,805.232474,true
56,805.232474,805.232474,true
57,805.232474,805.232474,true
58,854.865283,805.232474,true
59,845.763273,805.232474,true
60,805.232474,805.232474,true
61,849.311039,805.232474,true
62,854.865283,805.232474,true
63,805.232474,805.232474,true
64,845.763273,805.232474,true
65,845.763273,805.232474,true
66,845.763273,805.232474,true
67,845.763273,805.232474,true
68,845.763273,805.232474,true
69,1024.532325,805.232474,false
70,1024.532325,805.232474,true
71,1029.883327,805.232474,true
72,1029.883327,805.232474,true
73,1029.883327,805.232474,true
74,1048.947050,805.232474,true
75,1043.622364,805.232474,true
76,1043.622364,805.232474,true
77,973.402515,805.232474,true
78,973.402515,805.232474,true
79,915.102678,805.232474,true
80,918.854086,805.232474,true
81,918.854086,805.232474,true
82,918.854086,805.232474,true
83,892.898216,805.232474,true
84,892.898216,805.232474,true
85,915.102678,805.232474,true
86,915.102678,805.232474,true
87,915.102678,805.232474,true
88,915.102678,805.232474,true
89,854.865283,805.232474,true
90,845.763273,805.232474,true
91,845.763273,805.232474,true
92,845.763273,805.232474,true
93,845.763273,805.232474,true
94,805.232474,805.232474,true
95,805.232474,805.232474,true
96,805.232474,805.232474,true
97,867.794845,805.232474,true
98,867.794845,805.232474,true
99,867.794845,805.232474,true
100,1108.774368,805.232474,true
101,1203.560940,805.232474,false
102,1091.476542,805.232474,false
103,996.689969,805.232474,true
104,996.689969,805.232474,true
105,973.932979,805.232474,true
106,973.932979,805.232474,true
107,973.932979,805.232474,true
108,996.689969,805.232474,true
109,996.689969,805.232474,true
110,996.689969,805.232474,true
111,994.784659,805.232474,true
112,994.784659,805.232474,true
113,1081.561413,805.232474,true
114,1081.561413,805.232474,true
115,1071.871763,805.232474,true
116,943.064327,805.232474,true
117,943.064327,805.232474,true
118,943.064327,805.232474,true
119,943.064327,805.232474,true
120,805.232474,805.232474,true
121,845.763273,805.232474,true
122,849.311039,805.232474,true
123,849.311039,805.232474,true
124,849.311039,805.232474,true
125,849.311039,805.232474,true
126,849.311039,805.232474,true
127,805.232474,805.232474,true
128,805.232474,805.232474,true
129,845.763273,805.232474,true
130,845.763273,805.232474,true
131,845.763273,805.232474,true
132,805.232474,805.232474,true
133,805.232474,805.232474,true
134,805.232474,805.232474,true
135,805.232474,805.232474,true
136,805.232474,805.232474,true
137,849.311039,805.232474,true
138,854.865283,805.232474,true
139,854.865283,805.232474,true
140,854.865283,805.232474,true
141,845.763273,805.232474,true
142,845.763273,805.232474,true
143,845.763273,805.232474,true
144,845.763273,805.232474,true
145,845.763273,805.232474,true
146,907.418635,805.232474,true
147,907.418635,805.232474,true
148,892.898216,805.232474,true
149,892.898216,805.232474,true
150,892.898216,805.232474,true
151,892.898216,805.232474,true
152,892.898216,805.232474,true
153,948.024710,805.232474,true
154,919.041712,805.232474,true
155,919.041712,805.232474,true
156,919.041712,805.232474,true
157,919.041712,805.232474,true
158,919.041712,805.232474,true
159,928.347364,805.232474,true
160,854.865283,805.232474,true
161,845.763273,805.232474,true
162,805.232474,805.232474,true
