Method,Results,Mean improved cost,Best improved cost,Mean elapsed seconds
adaptive-g1,46,15561.441681630433,6160.714813,1792.6315703695657
adaptive-g2,46,15575.93502971739,5882.395683,1868.652906782608
adaptive-g3,46,15595.450297478257,5882.395683,1848.4605488043483
adaptive-g4,46,15580.025255391301,6083.106682,1751.900258195652
cyclic,44,14463.048490909096,5913.365394,1408.735765772727
random,43,15424.963279023257,6357.881412,2402.297210953488
